Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 10,Coverage (%) 11,Coverage (%) 12,Coverage (%) 1,Coverage (%) 2,Coverage (%) 3,Coverage (%) 4,Coverage (%) 5,Coverage (%) 6,Coverage (%) 7,Coverage (%) 8,Coverage (%) 9,Area 10_hf,Area 11_im,Area 12_if,Area 1_hm,Area 2_hf,Area 3_im,Area 4_if,Area 5_hm,Area 6_hf,Area 7_im,Area 8_if,Area 9_hm,#Peptides,#Unique,#Spec 10,#Spec 11,#Spec 12,#Spec 1,#Spec 2,#Spec 3,#Spec 4,#Spec 5,#Spec 6,#Spec 7,#Spec 8,#Spec 9,PTM,Avg. Mass,Description
32,9,sp|Q9NH48|KARG_ERISI,247.01,78,59,55,66,47,67,70,41,76,56,55,55,67,1.28E+05,1.25E+05,1.40E+05,7.41E+04,9.62E+04,1.63E+05,7.46E+04,7.33E+04,1.21E+05,6.36E+04,1.22E+05,7.89E+04,47,10,178,128,131,111,153,141,104,106,101,95,141,123,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),40339,Arginine kinase OS=Eriocheir sinensis OX=95602 PE=2 SV=1
55,28,sp|Q9GYX1|KARG_PACMR,238.84,57,51,51,52,40,46,52,36,46,48,55,52,46,3.42E+04,3.61E+04,4.81E+04,9.04E+03,2.20E+04,5.70E+04,1.17E+04,2.50E+04,1.53E+04,3.44E+04,4.70E+04,2.17E+04,40,4,151,108,116,101,138,136,99,87,85,90,127,104,Carbamidomethylation; Oxidation (M); Deamidation (NQ),40243,Arginine kinase OS=Pachygrapsus marmoratus OX=135190 PE=2 SV=1
223,88,A0A0P4W6V9|A0A0P4W6V9_SCYOL,238.17,34,12,16,16,18,13,22,16,14,14,19,18,12,1.15E+04,1.84E+04,2.56E+04,2.57E+04,1.63E+04,2.57E+04,2.80E+04,9.83E+03,1.64E+04,2.49E+04,1.46E+04,8.24E+03,59,26,34,41,45,54,38,59,53,34,33,50,43,29,Carbamidomethylation; Oxidation (M),228438,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
2,59,A0A6J3WT23|A0A6J3WT23_CARMA,234.2,33,28,20,13,16,22,23,18,25,26,22,24,23,1.90E+05,9.16E+04,4.95E+03,4.23E+03,4.19E+04,4.40E+04,1.14E+04,1.93E+05,7.73E+04,1.74E+04,1.62E+05,1.05E+05,35,5,245,212,79,286,300,199,196,464,139,291,494,323,Carbamidomethylation; Oxidation (M); Deamidation (NQ),78464,Cryptocyanin (Fragment) OS=Carcinus maenas OX=6759 GN=Cc1 PE=2 SV=1
256,27129,A0A2P1JJ59|A0A2P1JJ59_PROCL,230.34,34,22,19,22,10,12,32,10,25,10,18,33,12,1.81E+04,1.43E+04,3.46E+04,,1.47E+03,2.66E+04,,1.49E+04,2.59E+03,1.61E+04,4.70E+04,3.28E+03,34,2,36,26,44,27,26,69,23,37,17,26,78,26,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),97467,Alpha-1 4 glucan phosphorylase (Fragment) OS=Procambarus clarkii OX=6728 GN=Glyp PE=2 SV=1
98,69,K4EJG5|K4EJG5_ERISI,228.79,47,41,25,22,19,34,25,11,41,28,30,15,39,4.19E+05,7.53E+04,1.15E+05,1.56E+05,1.19E+06,8.20E+04,1.58E+04,1.31E+05,7.62E+04,7.10E+04,3.88E+04,4.79E+05,33,17,121,76,70,63,206,58,30,111,44,55,64,153,Deamidation (NQ),78325,Hemocyanin subunit 6 OS=Eriocheir sinensis OX=95602 PE=2 SV=1
300,61,A0A0P4WK81|A0A0P4WK81_SCYOL,228.24,36,14,18,19,6,8,22,10,13,15,10,25,7,1.01E+04,3.38E+03,3.39E+03,8.91E+02,1.01E+03,7.23E+03,2.48E+03,1.98E+03,1.12E+03,5.64E+02,7.12E+03,7.74E+02,47,7,23,37,36,17,19,68,24,28,31,17,49,17,Carbamidomethylation; Deamidation (NQ),192593,Clathrin heavy chain OS=Scylla olivacea OX=85551 PE=3 SV=1
143,73,A0A5B7DYD6|A0A5B7DYD6_PORTR,228.21,56,42,42,40,32,32,54,32,41,39,46,54,42,1.44E+05,1.21E+05,2.06E+05,8.06E+04,1.22E+05,2.92E+05,1.52E+05,7.12E+04,8.16E+04,9.03E+04,3.20E+05,1.05E+05,27,10,66,56,91,55,62,108,64,36,56,55,90,45,Carbamidomethylation; Oxidation (M); Deamidation (NQ),42123,Fructose-bisphosphate aldolase OS=Portunus trituberculatus OX=210409 GN=Ald PE=3 SV=1
286,50,Q3S346|Q3S346_PACMR,227.11,43,20,25,28,16,24,26,24,17,22,10,31,14,5.37E+02,,3.40E+03,9.42E+03,7.60E+03,8.13E+02,1.11E+04,,5.25E+03,,3.65E+03,,39,2,30,44,39,31,31,52,38,15,36,10,56,11,Carbamidomethylation,112280,Sodium/potassium-transporting ATPase subunit alpha OS=Pachygrapsus marmoratus OX=135190 PE=2 SV=1
286,49,Q3S347|Q3S347_PACMR,227.11,42,20,24,27,16,24,26,23,17,21,10,31,13,5.37E+02,,3.40E+03,9.42E+03,7.60E+03,8.13E+02,1.11E+04,,5.25E+03,,3.65E+03,,39,2,30,44,39,31,31,52,38,15,36,10,56,11,Carbamidomethylation,115336,Sodium/potassium-transporting ATPase subunit alpha OS=Pachygrapsus marmoratus OX=135190 PE=2 SV=1
296,46,R4VGQ9|R4VGQ9_ERISI,226.8,43,18,24,25,16,23,24,24,17,21,10,29,13,,,,1.93E+03,2.78E+03,,3.84E+03,,2.01E+03,,,,39,2,29,44,37,29,29,51,36,15,36,10,53,11,Carbamidomethylation,115262,Sodium/potassium-transporting ATPase subunit alpha OS=Eriocheir sinensis OX=95602 PE=2 SV=1
4,206,Q283K8|Q283K8_METMG,221.61,25,20,13,8,9,15,20,10,20,14,16,21,14,,0,,,,1.86E+03,,2.73E+03,,,5.13E+04,,28,4,215,185,71,261,281,175,165,415,125,262,445,287,Carbamidomethylation; Oxidation (M); Deamidation (NQ),78261,Cryptocyanin 2 OS=Metacarcinus magister OX=29965 GN=Cc2 PE=2 SV=1
126,11,A0A0P4VNF4|A0A0P4VNF4_SCYOL,221.61,69,36,45,37,32,44,57,35,29,47,54,42,41,3.11E+04,2.93E+04,2.00E+04,2.21E+02,2.86E+03,2.63E+04,1.19E+03,1.43E+04,8.98E+02,4.75E+03,2.82E+04,4.90E+03,29,4,71,72,77,53,49,99,100,52,38,90,87,62,Oxidation (M); Deamidation (NQ),56182,ATP synthase subunit beta OS=Scylla olivacea OX=85551 PE=3 SV=1
35,27154,A0A423T2P8|A0A423T2P8_PENVA,220.14,80,55,66,59,46,44,74,51,42,57,57,79,47,,,,0,,1.55E+03,,,,,2.96E+02,,32,2,132,160,173,89,108,159,136,78,114,132,140,82,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41935,Beta-actin OS=Penaeus vannamei OX=6689 GN=C7M84_010919 PE=3 SV=1
352,114,A0A0N7ZB37|A0A0N7ZB37_SCYOL,218.79,32,26,16,14,20,26,0,12,22,8,0,15,23,7.46E+04,9.21E+03,1.45E+04,5.42E+04,1.29E+05,,1.97E+04,4.61E+04,4.21E+03,,1.67E+04,5.97E+04,38,23,52,17,22,25,74,0,12,45,5,0,15,48,Carbamidomethylation,102274,Myosin_tail_1 domain-containing protein OS=Scylla olivacea OX=85551 PE=4 SV=1
345,99,A0A5B7DQZ0|A0A5B7DQZ0_PORTR,218.63,12,9,4,4,6,9,0,5,6,5,0,6,4,3.61E+04,3.32E+03,1.97E+03,1.79E+04,4.55E+04,,1.38E+04,3.36E+04,1.77E+04,,1.84E+04,2.37E+03,36,17,55,24,14,44,54,0,25,40,20,3,31,14,Carbamidomethylation; Oxidation (M),352200,Myosin heavy chain  muscle OS=Portunus trituberculatus OX=210409 GN=Mhc_1 PE=3 SV=1
116,30,A0A0P4WZN8|A0A0P4WZN8_SCYOL,217.22,61,46,46,56,43,50,46,37,40,44,42,46,53,6.03E+03,1.20E+03,8.40E+03,2.09E+03,2.80E+03,1.17E+04,1.20E+03,,5.45E+03,,9.18E+03,4.32E+03,31,5,72,53,112,56,99,106,52,69,52,63,108,71,Carbamidomethylation; Oxidation (M); Deamidation (NQ),47133,2-phospho-D-glycerate hydro-lyase OS=Scylla olivacea OX=85551 PE=3 SV=1
189,27757,A0A553NPY7|A0A553NPY7_TIGCA,215.95,56,55,54,54,28,44,56,29,54,41,54,56,36,2.69E+05,3.74E+05,2.98E+05,1.21E+05,1.40E+05,3.11E+05,1.66E+05,1.06E+05,7.13E+04,5.09E+05,3.82E+05,7.46E+04,23,17,57,62,52,8,24,105,22,60,28,92,99,27,Oxidation (M); Deamidation (NQ),25404,Histone H4 OS=Tigriopus californicus OX=6832 GN=TCAL_03755 PE=3 SV=1
52,27226,A0A5N5T960|A0A5N5T960_9CRUS,214.89,41,38,36,36,27,34,37,20,31,31,34,37,34,2.52E+04,1.88E+04,1.96E+04,7.41E+02,5.46E+03,1.30E+04,2.02E+03,1.59E+04,2.46E+04,1.16E+04,2.52E+04,1.85E+04,26,2,127,115,125,119,88,116,103,100,129,96,144,91,Carbamidomethylation; Oxidation (M); Deamidation (NQ),55207,Tubulin beta-2 chain OS=Armadillidium nasatum OX=96803 GN=TBB2_0 PE=3 SV=1
76,27169,A0A423SMS3|A0A423SMS3_PENVA,214.84,60,41,39,46,22,32,51,21,28,28,35,53,33,,,5.44E+03,,,6.94E+03,,,,2.40E+03,7.96E+03,1.62E+03,27,2,105,99,119,110,79,102,93,97,105,81,133,80,Carbamidomethylation; Oxidation (M); Deamidation (NQ),52845,Tubulin beta chain OS=Penaeus vannamei OX=6689 GN=C7M84_016477 PE=3 SV=1
314,27172,A0A423U2L6|A0A423U2L6_PENVA,212.56,30,20,16,17,7,10,25,6,19,11,15,26,12,3.29E+04,2.16E+04,2.91E+04,8.52E+03,1.06E+04,1.04E+04,1.39E+04,8.53E+03,2.45E+04,3.87E+03,2.17E+04,9.16E+03,31,3,32,29,32,17,19,56,20,27,14,19,63,21,Carbamidomethylation; Deamidation (NQ),97837,Alpha-1 4 glucan phosphorylase OS=Penaeus vannamei OX=6689 GN=C7M84_023887 PE=3 SV=1
156,27171,A0A346QR75|A0A346QR75_PROCL,212.53,57,53,31,35,24,27,35,19,37,23,33,38,21,5.13E+03,,,,,,,9.83E+03,,,,,29,3,97,63,78,39,33,77,28,70,44,58,115,36,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50980,Tubulin beta chain (Fragment) OS=Procambarus clarkii OX=6728 GN=Tubb1 PE=2 SV=1
384,128,A0A5B7EJC4|A0A5B7EJC4_PORTR,211.13,47,26,28,33,42,30,0,26,36,23,0,0,27,3.04E+03,3.99E+03,5.23E+03,2.10E+04,3.74E+03,,1.75E+03,1.61E+04,2.93E+03,,,1.67E+04,32,8,22,28,23,71,22,0,25,34,22,0,0,36,Carbamidomethylation; Deamidation (NQ),66094,Myosin heavy chain  muscle OS=Portunus trituberculatus OX=210409 GN=Mhc_5 PE=3 SV=1
227,31,A0A0N7ZCJ7|A0A0N7ZCJ7_SCYOL,210.35,53,32,31,29,25,30,52,20,30,27,31,42,28,2.85E+04,2.65E+04,4.49E+04,4.05E+04,2.48E+04,3.34E+04,4.58E+04,1.09E+04,2.36E+04,2.50E+04,3.32E+04,2.02E+04,32,10,35,42,53,37,51,50,38,27,43,40,55,34,Carbamidomethylation; Deamidation (NQ),59301,ATP synthase subunit alpha OS=Scylla olivacea OX=85551 PE=3 SV=1
230,94,A0A5B9Y2E3|A0A5B9Y2E3_ERISI,210.25,59,40,44,33,22,25,56,26,35,22,26,45,25,3.14E+04,1.18E+04,3.61E+04,1.67E+04,1.42E+04,3.71E+04,8.72E+03,1.08E+04,1.12E+04,1.46E+04,2.49E+04,2.00E+04,22,4,45,50,58,27,29,75,34,28,46,18,45,45,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),54448,Vacuolar proton pump subunit B OS=Eriocheir sinensis OX=95602 GN=VATB PE=2 SV=1
387,138,A0A7U1BGD6|A0A7U1BGD6_SCYPA,209.95,44,25,26,26,38,26,0,21,32,21,0,0,26,2.43E+03,8.83E+02,1.29E+03,2.90E+03,,,,4.59E+02,,,,3.66E+03,32,2,25,27,22,58,20,0,25,35,23,0,0,40,Carbamidomethylation; Deamidation (NQ),65621,Myosin-9 OS=Scylla paramamosain OX=85552 PE=2 SV=1
359,100,A0A0P4W3V4|A0A0P4W3V4_SCYOL,209.21,42,14,17,17,18,10,21,12,15,13,12,18,5,9.45E+02,,4.78E+02,1.53E+03,,,7.75E+02,,6.97E+02,,,,32,4,31,34,23,33,36,34,25,16,18,18,21,22,Carbamidomethylation; Oxidation (M); Deamidation (NQ),92763,Vesicle-fusing ATPase OS=Scylla olivacea OX=85551 PE=4 SV=1
226,27,A0A0P4WF29|A0A0P4WF29_SCYOL,207.11,49,29,38,32,23,32,44,28,26,33,32,39,32,3.86E+04,5.64E+04,9.93E+04,4.51E+04,5.18E+04,1.01E+05,1.87E+04,2.49E+04,4.42E+04,2.69E+04,6.30E+04,5.44E+04,24,7,43,50,55,23,40,65,20,24,34,24,90,38,Carbamidomethylation; Oxidation (M); Deamidation (NQ),57198,Pyruvate kinase OS=Scylla olivacea OX=85551 PE=3 SV=1
311,27268,A0A2D3E2V2|A0A2D3E2V2_PROCL,206.01,52,49,40,40,21,27,49,19,37,28,39,52,33,,,9.24E+02,,1.32E+03,3.78E+03,,7.95E+02,,3.51E+02,4.79E+02,1.24E+03,27,2,36,23,41,16,26,56,11,29,18,36,46,21,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),50178,Rab GDP dissociation inhibitor (Fragment) OS=Procambarus clarkii OX=6728 GN=GDI1 PE=2 SV=1
86,27190,A0A0M3SB45|A0A0M3SB45_PROCL,205.81,75,57,49,59,26,30,66,33,40,42,45,74,34,7.71E+02,1.96E+03,2.95E+03,4.11E+03,1.86E+03,3.01E+03,1.35E+04,,3.16E+03,3.63E+03,1.92E+03,2.75E+03,27,3,90,78,141,46,49,100,54,66,72,97,305,58,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),43009,Tubulin alpha chain (Fragment) OS=Procambarus clarkii OX=6728 PE=2 SV=1
428,72,A0A0P4WBA0|A0A0P4WBA0_SCYOL,205.62,32,19,12,22,5,10,17,6,6,12,10,19,5,8.35E+02,4.67E+03,7.55E+03,4.64E+03,5.07E+03,5.27E+03,1.06E+04,,1.04E+04,4.60E+03,3.16E+03,1.84E+03,29,14,16,27,49,9,15,19,13,14,21,17,31,11,Carbamidomethylation,118525,ATP-citrate synthase OS=Scylla olivacea OX=85551 PE=3 SV=1
81,27338,A0A0A6Z676|A0A0A6Z676_MACRS,205.4,93,72,88,78,55,57,78,67,61,76,71,92,59,4.90E+03,2.25E+04,3.61E+04,7.89E+02,3.72E+03,1.76E+04,5.36E+03,1.65E+04,1.40E+04,1.53E+04,3.04E+03,2.49E+04,22,2,83,127,148,73,94,101,120,67,100,116,97,66,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),29078,Actin (Fragment) OS=Macrobrachium rosenbergii OX=79674 PE=2 SV=1
341,118,I6LKQ4|I6LKQ4_ERISI,204.9,59,33,37,29,19,19,33,17,35,23,16,31,28,2.32E+04,1.30E+04,1.04E+04,4.48E+03,6.95E+03,2.80E+04,1.11E+04,4.29E+04,2.36E+04,6.98E+03,4.78E+04,1.91E+04,26,8,45,26,16,27,33,20,25,36,20,14,32,32,Carbamidomethylation; Deamidation (NQ),58860,Catalase OS=Eriocheir sinensis OX=95602 PE=2 SV=1
493,134,A0A0P4W1N3|A0A0P4W1N3_SCYOL,204.44,18,9,7,5,7,8,8,6,6,5,6,8,4,1.23E+04,8.47E+03,1.00E+04,7.63E+03,9.66E+03,8.14E+03,7.95E+03,1.21E+04,7.91E+03,2.62E+03,1.00E+04,5.23E+03,30,11,24,16,16,15,21,15,14,21,12,15,17,8,Carbamidomethylation,239804,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
162,278,H9C3G6|H9C3G6_SCYPA,203.47,75,56,50,52,47,52,60,57,64,52,52,61,46,4.09E+04,1.99E+04,2.22E+04,,2.04E+03,6.26E+04,2.54E+02,7.69E+04,3.65E+02,4.46E+04,7.25E+04,2.31E+04,20,5,68,57,76,40,47,99,37,60,37,79,69,53,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),28008,14-3-3 zeta OS=Scylla paramamosain OX=85552 PE=2 SV=1
162,279,A0A0P4X0R7|A0A0P4X0R7_SCYOL,203.47,75,56,51,52,47,52,60,57,64,52,52,61,46,4.09E+04,1.99E+04,2.22E+04,,2.04E+03,6.26E+04,2.54E+02,7.69E+04,3.65E+02,4.46E+04,7.25E+04,2.31E+04,20,5,68,57,76,40,47,99,37,60,37,79,69,53,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),27977,14_3_3 domain-containing protein OS=Scylla olivacea OX=85551 PE=3 SV=1
162,280,A0A0M5J900|A0A0M5J900_SCYPA,203.47,75,56,51,52,47,52,60,57,64,52,52,61,46,4.09E+04,1.99E+04,2.22E+04,,2.04E+03,6.26E+04,2.54E+02,7.69E+04,3.65E+02,4.46E+04,7.25E+04,2.31E+04,20,5,68,57,76,40,47,99,37,60,37,79,69,53,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),27977,14-3-3 protein isoform B OS=Scylla paramamosain OX=85552 GN=14-3-3 PE=2 SV=1
162,281,K7P5U0|K7P5U0_ERISI,203.47,75,56,51,52,47,52,60,57,64,52,52,61,46,4.09E+04,1.99E+04,2.22E+04,,2.04E+03,6.26E+04,2.54E+02,7.69E+04,3.65E+02,4.46E+04,7.25E+04,2.31E+04,20,5,68,57,76,40,47,99,37,60,37,79,69,53,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),27977,14-3-3-like protein OS=Eriocheir sinensis OX=95602 PE=2 SV=1
162,282,J7I3M4|J7I3M4_PORTR,203.47,75,56,51,52,47,52,60,57,64,52,52,61,46,4.09E+04,1.99E+04,2.22E+04,,2.04E+03,6.26E+04,2.54E+02,7.69E+04,3.65E+02,4.46E+04,7.25E+04,2.31E+04,20,5,68,57,76,40,47,99,37,60,37,79,69,53,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),27977,14-3-3 OS=Portunus trituberculatus OX=210409 PE=2 SV=1
162,27501,A0A385L4G6|A0A385L4G6_PROCL,203.47,75,56,51,52,47,52,60,57,64,52,52,61,46,4.09E+04,1.99E+04,2.22E+04,,2.04E+03,6.26E+04,2.54E+02,7.69E+04,3.65E+02,4.46E+04,7.25E+04,2.31E+04,20,5,68,57,76,40,47,99,37,60,37,79,69,53,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),27977,14-3-3-like protein (Fragment) OS=Procambarus clarkii OX=6728 PE=2 SV=1
192,27659,A0A5N5TDS5|A0A5N5TDS5_9CRUS,203.33,49,37,45,34,31,35,24,27,32,23,22,39,38,4.29E+03,5.43E+03,7.50E+03,4.42E+02,3.45E+03,,4.74E+02,1.83E+04,1.19E+03,,7.39E+02,1.92E+04,22,4,79,59,59,40,55,37,51,49,50,38,60,48,Carbamidomethylation; Oxidation (M); Deamidation (NQ),43968,Putative actin-25 OS=Armadillidium nasatum OX=96803 GN=act25 PE=3 SV=1
329,63,M9NPG8|M9NPG8_ERISI,202.48,34,20,17,19,16,9,21,15,15,15,11,23,10,6.56E+03,2.14E+04,1.98E+04,9.49E+03,6.44E+03,2.56E+04,1.16E+04,8.95E+03,1.50E+04,2.10E+03,4.90E+04,1.03E+04,25,15,36,29,46,30,19,28,27,15,37,16,32,18,Carbamidomethylation,115131,Ubiquitin-activating enzyme E1 OS=Eriocheir sinensis OX=95602 PE=2 SV=1
366,75,I6LKT2|I6LKT2_ERISI,202.38,47,23,25,28,26,23,36,21,23,23,22,30,18,8.36E+02,1.01E+03,2.96E+02,1.40E+03,1.52E+03,5.70E+03,4.48E+03,,8.92E+02,8.69E+02,,3.20E+02,31,2,24,27,34,28,21,33,24,20,18,18,37,18,Carbamidomethylation,82833,Heat shock protein 83 OS=Eriocheir sinensis OX=95602 PE=2 SV=1
67,27445,D2J3S4|D2J3S4_PANAR,201.11,100,84,95,82,59,57,92,73,56,85,85,99,70,5.02E+04,5.31E+04,3.10E+04,,,9.54E+03,1.79E+03,,,1.63E+03,1.10E+03,1.34E+03,23,3,156,197,225,45,68,127,102,47,84,83,88,46,Carbamidomethylation; Oxidation (M); Deamidation (NQ),26062,Beta-actin (Fragment) OS=Panulirus argus OX=6737 PE=2 SV=1
662,27187,A0A423T6A9|A0A423T6A9_PENVA,199.77,14,2,1,3,1,1,7,2,2,2,1,7,1,,8.13E+02,1.23E+03,3.34E+03,1.33E+03,1.63E+03,6.49E+03,6.37E+02,1.76E+03,,2.32E+03,6.86E+02,28,8,8,3,12,3,4,29,10,7,5,2,21,5,Carbamidomethylation; Deamidation (NQ),310954,Ankyrin-2-like OS=Penaeus vannamei OX=6689 GN=C7M84_009642 PE=4 SV=1
404,133,A0A482LVL9|A0A482LVL9_CANBE,197.8,44,18,21,21,19,16,34,21,17,16,22,28,11,,1.10E+03,,,,1.30E+03,7.36E+02,,,4.89E+02,,,29,3,20,23,25,23,15,32,23,18,13,17,36,14,Carbamidomethylation,83136,Heat shock protein 83 OS=Cancer borealis OX=39395 GN=HSP90A PE=2 SV=1
320,177,A0A0P4WGE7|A0A0P4WGE7_SCYOL,197.64,43,32,20,21,16,14,29,11,23,14,19,34,15,4.24E+04,4.87E+04,6.39E+04,2.92E+04,3.55E+04,9.29E+04,2.90E+04,3.77E+04,5.64E+04,4.59E+04,1.03E+05,4.60E+04,20,10,26,24,28,16,24,52,16,22,25,29,55,25,Carbamidomethylation; Deamidation (NQ),68062,Transket_pyr domain-containing protein OS=Scylla olivacea OX=85551 PE=4 SV=1
264,360,A0A0P4WYI4|A0A0P4WYI4_SCYOL,196.65,51,36,38,38,25,33,39,27,43,29,33,50,30,1.51E+04,1.97E+04,3.11E+04,5.77E+04,4.14E+04,4.68E+04,3.64E+04,3.73E+03,5.05E+04,3.48E+04,1.97E+04,2.97E+04,18,7,41,35,42,29,35,44,25,34,31,32,40,33,Carbamidomethylation; Deamidation (NQ),35085,Phosphoglycerate mutase OS=Scylla olivacea OX=85551 PE=3 SV=1
